"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"15590",31,64280,475,12.6326645585723,13.7116999236724
"32348",34,66585,434.03,13.5718324260837,14.8283559815217
"6921",43,133449,432,21.0087161877096,21.57298909203
"33577",10,40493,93,20.7335935773735,21.41857553215
"27870",435,683051,4731,11.4452516865594,12.6717695900363
"33830",142,250436,122,20.8389569724127,20.9706850942072
"28330",2028,3549673,32306,11.6305676146466,12.7725479931767
"32567",379,626530,3781,13.2645239555283,14.5246220705468
"20041",17,28958,172.88,18.73022257784,19.9809297540691
"29028",98,267664,1815,14.301729327991,15.5577238472877
"30395",8,41695,136,31.0643098909364,32.0872508461828
"25594",44,92676,724,15.2232073587978,16.3579342328604
"26449",11,40422,156,15.5171586900885,16.1973151260687
"32710",12,25930,235.82,14.1338856725692,15.3850316632994
"969",9,30837,162,27.5404864994124,28.3647168361766
"30615",12,36320,200,17.2407941625658,18.3720798687709
"24507",23,64439,536.59,11.0761657641168,12.3263466196842
"9955",134,273498,1936.03,16.5059221037151,17.7636346497815
"20720",106,184078,1392,9.61453802673053,10.6358625790206
"8533",19,47080,370.57,23.8958768873599,25.1492519897165
"26442",72,63916,580.46,7.43037638029711,8.68343747085704
"4382",396,840372,5232,13.4332008976797,14.4237231596297
"17736",39,101833,333.75,42.970110286436,44.2265737793481
"29209",6,35579,155,24.1017629993305,24.8084504946812
"30836",162,298107,326,9.81829530480616,8.43331715098134
"11708",23,75935,397,34.0616183207922,35.241897841902
"26357",26,47807,321,10.9931194144672,12.1470734144816
"23785",85,117038,890,13.505091199798,14.6753308227968
"20359",20,32858,135,13.7575649782965,14.4065067225558
"19559",45,74154,532.5,13.9228398342013,15.1805009388174
"15832",169,290659,2206.88,12.0050551659788,13.2565297122564
"22932",32,42816,259.45,13.8497337995395,15.114094613857
"24339",16,78597,288,16.3312684603096,17.158750043098
"21074",36,46380,399.99,12.4530665090049,13.7036570369831
"25765",58,87685,353,10.6982908905182,11.4433089777845
"25339",84,167732,657,11.0488778762259,11.6659919427634
"26750",25,46504,380,12.4533752360999,13.6596669999841
"5554",71,86259,269,20.6084296570012,21.2930020918905
"24794",7,12220,77,24.7407814975383,25.4712416874579
"5508",48,182649,1087.9,20.1549301127887,21.4470833610475
"3263",9424,20728101,521228.69,8.80344392431724,12.5072194866389
"25296",36,83993,514,11.586540993102,12.6691590753515
"13765",15,23582,160.69,14.861280451036,16.1115732026993
"26223",45,97300,451,10.3360115058134,11.0832928763042
"25739",24,32474,256.43,10.0043520648757,11.2625256793907
"3206",70,163781,483.32,41.5903892556721,42.8558262676363
"32427",22,47728,282,10.7948605537382,11.6885306714329
"23647",137,299065,1437,15.0577303679343,16.1436461833875
"25888",16,39426,159,12.5020672885667,13.2127675741877
"24891",26,48890,292.85,15.6969224026425,16.9491271767133
"26458",54,89392,399,13.3896926763295,14.2572612664327
"25294",34,72899,398,16.7119208667384,17.7776706672451
"19910",9,11918,115.13,18.0719668305701,19.3291423841674
"26181",11,17561,120.8,12.1504039776259,13.4016987777087
"24182",86,171625,1496.07,12.1675967253899,13.430068216683
"25062",19,23561,199.75,12.8627627712212,14.1130483495917
"12504",29,29576,269.96,11.4845137712081,12.7371842106728
"18698",57,109299,576.88,25.4844994151955,26.7405009549339
"23346",270,502549,3754,12.0555710007518,13.1576436547594
"32637",50,211739,85,26.1710087139625,26.361416634932
"19693",4,8447,8,42.8061831153389,43.1341998441921
"22512",4,8989,52.87,24.2091786627919,25.4603412003304
"11475",13,30109,234.11,13.4096658291903,14.669431827293
"10646",184,296359,2801.3,10.0990609094002,11.3561929448384
"660",123,295757,2071.98,20.7764867091003,22.0354346219365
"13947",21,41651,303.43,14.3145899435465,15.567034011185
"5372",16,41779,347,12.0409051782872,13.1941467175821
"17652",7,10157,69.29,15.4062930046658,16.6726062220955
"14440",72,116856,712.05,23.1472898322911,24.3985825536002
"17920",7,12065,73.35,22.522098525624,23.7774145794648
