"","cert","rbc1rwaj","rbcrwaj"
"5860",3149,11.7230063737142,12.0932287174741
"5861",4444,11.7036794925339,12.9553969723932
"5862",14095,36.8451215435312,37.437317923492
"5863",3869,16.3841382155096,17.4185334433304
"5864",26260,12.8740970072239,13.5448916408669
"5865",4016,20.0333821045678,21.302451326664
"5866",14924,16.7237931536189,17.9648985088464
"5867",3749,19.2122567961494,20.4731882584232
"5868",14584,29.1740549430781,30.4396988153059
"5869",5268,16.2947538538041,17.5472401790154
"5870",6442,24.967740728966,26.2188394142838
"5871",3067,15.3141795245476,16.5660397726835
"5872",12365,16.9459023011708,18.1974162293096
"5873",3074,81.4549180327869,82.7612704918033
"5874",3075,14.044817653664,15.3063516086511
"5875",3078,19.6237261562582,20.8742394266303
"5876",3599,15.226749191428,16.4436791772343
"5877",3079,46.9411312043094,48.2108503270489
"5878",3600,25.3519432077969,26.1942004572254
"5879",4551,13.4997038774633,14.7619987690593
"5880",3761,19.630096679277,20.9068936527953
"5881",5087,13.3730545298022,14.5488321515145
"5882",3087,14.4173755275371,15.6729467138218
"5883",5380,28.7934268107529,29.7579708850585
"5884",5337,30.759090005229,32.0169979599502
"5885",3762,18.2882032502758,19.4686743014409
"5886",3091,19.2446159384837,20.5005123281854
"5887",5090,18.7956112537118,19.7241934672102
"5888",3607,16.0775321863963,17.0374273669819
"5889",3095,18.051619882616,19.3037693655292
"5890",6528,12.0021211975124,13.6200163910717
"5891",3098,22.8005478874723,24.0016858076072
"5892",3099,21.1710824386881,22.2116615778588
"5893",4630,17.3991202097961,18.5453853311903
"5894",5093,21.6256344841199,22.2245462499521
"5895",5286,12.3996687623462,13.5701034886357
"5896",6530,17.3622250618526,17.770044316359
"5897",2682,21.4534405266823,22.7036779135279
"5898",3770,19.7854659044027,21.0408439912772
"5899",2786,21.3574428285866,22.6099873461828
"5900",5105,11.0411444641438,12.1599315277863
"5901",3122,17.9481175467059,19.1975112478884
"5902",5389,19.2402337742233,20.4898492771455
"5903",3777,11.8478611571736,12.7737801355113
"5904",4530,22.8683655872773,24.0946541483043
"5905",2735,21.3674897271684,22.6242920075519
"5906",3615,14.6401890532093,15.8903796310413
"5907",4636,20.0152895656515,21.2649775336995
"5908",3136,23.2884008686033,24.3413774736756
"5909",3636,15.3725554913772,16.2513408697087
"5910",5115,13.6473918317833,14.5693489688637
"5911",5116,14.5507355007964,15.7781317342828
"5912",5117,16.2693700217234,16.9181752353367
"5913",4071,17.1531152310502,18.4066359218794
"5914",4652,15.8616671962716,16.4177523567419
"5915",5123,14.1156534186595,15.2923964297743
"5916",6574,15.3900290408432,16.6446905410981
"5917",3787,13.8460639354801,14.7764595873999
"5918",4654,44.2080814039227,45.4062822592538
"5919",2794,35.2744061359744,36.3094794846973
"5920",7031,33.8134598454465,35.0802112882715
"5921",3014,14.5497495570769,15.8096196329754
"5922",3658,21.805661820964,22.5585309869931
"5923",3179,12.7577141275771,13.9532309395323
"5924",5343,14.2901835372636,15.541573971079
"5925",3182,22.8358936844672,23.8722262862716
"5926",3184,21.8376621422337,23.0926656032744
"5927",5136,17.1174531366557,18.3705512909979
"5928",6464,13.0157492125394,14.2402879856007
"5929",2273,22.0451687784118,23.3001257374988
"5930",3188,31.8638721060792,33.128375126985
"5931",3190,15.3426086002031,16.5966905408743
"5932",5400,24.7478665632273,25.9023723000286
"5933",5142,35.2884710866903,36.5396709807686
"5934",3018,16.4769689099381,17.7373768237721
"5935",4098,22.2245409015025,23.487061769616
"5936",3197,12.888288208446,13.8033411618735
"5937",3864,15.0304121084644,16.2817116553849
"5938",3985,28.7300231792119,29.9865804562645
"5939",7502,11.1760159237194,11.9687818491488
"5940",6592,14.4633997145382,15.7207911370896
"5941",5150,24.8665575403886,26.1191374279411
"5942",3218,15.0412017949721,16.2769875778063
