"","cert","numemp","asset","RWAJT","RBCT2"
"3532",58048,36,162371,134309,1679
"3533",26191,210,641639,431817,5486
"3534",11902,15,106124,58138,246
"3535",59015,172,1319714,235585,442
"3536",14650,384,1996941,1499338,18878
"3537",34747,21,100549,60518,760
"3538",14084,6,14822,8844,111
"3539",14073,143,362893,272669,3517
"3540",35235,29,158055,120878,1519
"3541",19184,146,504921,241462,3028
"3542",90211,104,1033065,629905,7220
"3543",33849,178,1415836,1139239,19493
"3544",4540,112,329777,307953,3325
"3545",19354,14,63379,30521,383
"3546",26600,21,104385,69555,883
"3547",9080,46,148755,111436,1305
"3548",21448,14,53054,34191,434
"3549",321,25,147205,90211,1088
"3550",28094,203,686963,443635,3625
"3551",4664,27,78056,55767,499
"3552",5629,36,75729,60239,757
"3553",26271,16,143090,114470,1439
"3554",29881,62,230842,157431,1875
"3555",9196,20,69740,44491,500
"3556",28554,26,140130,89397,1120
"3557",8884,21,96826,49302,637
"3558",28092,338,1204984,963343,8529
"3559",28258,383,1315859,517369,6535
"3560",27654,39,209705,99413,748
"3561",31236,93,348360,224413,2967
"3562",34652,16,81082,48936,646
"3563",29683,431,2015344,1088869,5905
"3564",29877,57,294546,144183,1372
"3565",31774,5,36621,22285,82
"3566",27909,20,111257,61667,680
"3567",29476,59,198395,122929,1557
"3568",30695,31,54663,37344,472
"3569",28349,11,102618,37546,470
"3570",29042,215,878713,665827,8323
"3571",27417,66,210612,120176,1556
"3572",90040,10,48384,32031,3410
"3573",6680,22,61268,40227,488
"3574",27898,10,85575,44251,454
"3575",28276,8,29963,17437,150
"3576",30219,42,144277,100985,831
"3577",28246,11,62897,27521,256
"3578",30248,40,139425,98157,1187
"3579",26798,18,121032,90432,1133
"3580",30668,51,304179,211693,1984
"3581",30176,6,34861,16858,123
"3582",31723,7,35480,18374,184
"3583",29178,1242,453393,213434,2691
"3584",10650,20,82486,78971,989
"3585",9745,40,119513,90832,1078
"3586",14867,24,156970,107416,1349
"3587",966,5,38387,25102,226
"3588",15262,48,131990,99080,1053
"3589",12815,174,611342,444519,5629
"3590",58194,135,291296,140683,1228
"3591",17094,35,105278,64942,682
"3592",57632,26,124915,89470,1128
"3593",32459,38,142320,95425,1203
"3594",16375,154,398812,271553,3447
"3595",11482,72,226558,149191,1013
"3596",28667,27,79449,44496,407
"3597",32489,556,2325188,1539967,19783
"3598",31028,64,178292,136645,1647
"3599",12781,40,198109,154738,1952
"3600",58163,79,356881,268340,3322
"3601",35455,49,130833,94752,1185
"3602",58470,24,92296,67993,718
"3603",26523,42,218291,146677,1846
"3604",19603,88,370899,232224,2912
"3605",34727,76,191607,153512,1980
"3606",10197,8,25905,15319,193
"3607",57928,19,132912,84128,1069
"3608",3691,44,162724,112248,1422
"3609",35156,10,21180,12367,172
"3610",27677,286,1655799,1247230,15659
"3611",31267,8,75844,40623,190
"3612",8165,70,193057,140787,1778
"3613",90253,109,350097,255657,3205
"3614",15566,47,132240,82877,765
"3615",34942,65,365962,250364,2894
"3616",32372,25,361642,160439,1952
"3617",109,29,120266,73987,930
"3618",11236,130,512896,467158,5898
"3619",20972,29,95494,72151,903
"3620",14327,25,175250,140098,500
"3621",4360,311,1379909,880724,11109
"3622",3256,64,242283,171160,2146
"3623",57411,47,158776,108985,1376
"3624",10611,11,19206,12613,146
"3625",27139,139,656373,468328,5980
"3626",3855,31,100379,68274,871
"3627",15405,31,149561,102261,1279
"3628",58943,11,25156,17566,150
"3629",23453,69,244591,169492,2019
"3630",57776,59,305340,257795,3230
"3631",28747,66,298567,124536,1558
"3632",33863,522,1981882,1252529,43
"3633",57890,10362,192549259,120794561,7206673
"3634",58188,3,1010384,219,0
"3635",13074,1569,52429066,22908873,247619
"3636",20693,449,2652466,1962201,24724
"3637",32660,4,26762,14346,152
"3638",11141,19,49199,33197,70
"3639",30031,2,14344,6548,66
"3640",30464,77,139312,86735,614
"3641",27884,94,502426,194058,2530
"3642",18344,117,262977,197276,2516
"3643",11810,60,186562,129758,1630
"3644",23126,13,53239,32167,332
"3645",57990,18,59619,50399,637
"3646",12354,11,53850,36013,452
"3647",10448,74,406846,234768,1936
"3648",90160,110,884511,374493,3022
"3649",281,36,124451,78689,986
"3650",58371,20,88366,67345,843
"3651",58014,20,154150,105075,1324
"3652",28100,1355,9868901,6153557,77827
"3653",8807,86,223572,148074,1918
"3654",58378,60,311287,216527,2707
"3655",34317,51,174087,148187,1940
"3656",58095,22,77499,54976,693
"3657",33845,187,447740,336200,4258
"3658",35103,36,78983,57773,728
"3659",19980,86,245627,181640,2271
"3660",10788,22,85200,40957,388
"3661",3664,224,601344,359992,4357
"3662",29399,44,149092,64165,721
"3663",3342,42,100110,62120,780
"3664",20989,75,426154,363601,4550
"3665",57688,50,319836,274396,3458
"3666",57379,19,68137,30366,382
"3667",22925,23,161367,107943,1387
"3668",58736,20,103149,76456,959
"3669",8136,224,1006248,685893,8579
"3670",57285,31,171145,117266,1224
"3671",29427,4,21528,9869,122
"3672",31555,35,107172,60465,771
"3673",57951,25,120635,98810,1258
"3674",10741,21,59286,42443,532
"3675",34553,12,3452,1114,0
"3676",34728,169,780944,738596,17717
