"","numemp","asset","RWAJT","RBCT2"
"10835",8,14874,6811.21,85.51
"19525",41,112520,44833.5,239
"28926",11,38839,16809,0
"32996",20,32099,22091.34,276.44
"27928",9,29264,15149,101
"32455",89,179692,99011,550
"26552",26,98309,49399,363
"27968",6,48625,22893,200
"33798",157,289700,168269.9,1694
"15523",10,54791,18867.43,239.03
"11939",27,40348,26036.96,326.16
"2637",243,600067,498288.03,6301.03
"23546",44,147373,83370.7,1044.4
"32392",28,58307,32182.38,405.78
"10860",24,65693,27456.63,344.23
"8861",20,52234,41394.07,519.77
"27742",18,52667,27622,71
"30118",24,49223,25679.5,199
"27886",17,36436,12785,160
"28302",24,72355,17919,200
"27744",160,368855,237760,2102
"30196",54,130744,53840,642
"29641",27,85345,32956,302
"29755",18,78006,35384,220
"30001",13,49928,28181,118
"29575",139,318170,175100,2202
"27716",20,38792,18359,150
"29999",24,58797,32779,413
"29988",46,173756,83369,477
"30125",362,1235191,556808.6,2481
"28753",15,55341,22450,242
"28028",20,87383,34656.59,433.39
"27811",341,878023,288006,1717
"30201",26,81296,28450,101
"18659",24,25303,15677.1,188
"13771",32,58633,34529.42,431.62
"21761",0,1375,157.2,0
"27034",34,59602,42121.2,1302
"22055",33,125237,77615.18,984.08
"23941",55,77224,59863.01,750.31
"20432",76,296661,246859.61,3132.61
"9384",10,22619,12094.78,151.68
"32905",26,48386,36644.2,433
"26399",104,250696,159995.2,1895
"29677",5,16739,5255,12
"28373",31,141892,68226,341
"25050",29,41364,27623.6,358
"16276",22,34784,18073,229.4
"3214",97,169924,80278.2,1009.4
"4432",44,80185,53140.2,448
"16853",1202,2157423,1590991.3,17408
"25858",13,16840,10890.83,201.63
"25830",187,435558,269115.3,3194
"23331",34,31915,26156.3,282
"1136",13,19569,13947.6,165
"23009",36,59342,34308.7,260
"24108",57,111784,70411.64,883.54
"5107",12,31636,17911.7,165
"26771",24,76594,54821.27,685.47
"24567",24,31616,17942.98,225.98
"19733",56,114928,40953.4,437
"4978",880,2088496,1340229.62,16758.42
"14266",69,162587,99510.76,1249.26
"19526",190,360697,253063.91,3199.01
"16361",50,129832,57910.7,645
"3860",65,125348,56402.56,714.86
"24364",73,86156,56299.1,667
"4999",277,452299,283004.32,3548.82
"5429",580,888466,563360.86,7094.36
"24469",67,110598,60479,533
"15630",17,44209,20143.4,162
"9077",28,67953,35726.4,302
"2577",42,55884,37775.52,478.12
"26309",8,12214,5196.87,65.07
"33671",NA,91642,NA,0
"33663",NA,58513,NA,0
"5026",33,44629,23512.4,167
"17426",16,28732,19902.1,181
"22406",113,209015,187042.88,2369.78
"13390",43,98142,35551.75,445.05
"18734",39,110934,75138.44,951.34
"17847",69,82499,44303,396
"3753",97,133055,94388.81,1180.41
"33669",NA,2171,NA,0
"16718",31,88369,58409.6,675
"17576",137,221109,133907.24,1674.34
"6008",28,69630,30142.9,134
"24314",140,324200,226638.67,2887.17
"16752",12,22629,9778.9,66
"14221",187,492523,281640.4,3074.6
"26007",64,239163,185185.9,1961
"25910",109,162781,126713.16,1592.76
"26415",16,28767,23551.57,295.07
"25062",15,21096,15237.24,190.74
"6557",3773,8394511,7376476.85,216873.25
"19081",303,499928,387171.98,4847.88
"6519",66,152436,117276.4,1289
"2680",122,211515,160581,1258
"2731",105,193396,137749.3,1613
"6561",3013,6345695,4385104.96,129908.26
"6569",669,2051695,1614579.74,20258.44
"4347",2550,4921100,3284911.58,41453.18
"2756",1805,5636716,4202416.13,52597.53
"10254",540,1437336,1200167.6,14474
"10276",464,1223277,1014614.84,12747.44
"13096",113,281992,176544.2,2086
"26463",42,141776,85712.9,821
"10044",119,310194,209986.75,2647.05
"7414",449,925233,638250.43,8100.73
"14901",68,133165,73736.65,939.65
"6357",2432,7043392,4436974.96,128809.36
"7063",4520,16675189,12501307.03,482729.93
"18603",195,726101,622007.99,8555.59
"27486",193,4022548,3972588.5,150179.45
"15474",5080,21391499,12758819.42,160697.22
"2155",4399,15308182,13092503.6,125977
"13444",91,208129,107999.7,1248
"12883",1180,4213721,2195526.69,28181.39
"4892",6147,25014223,22754903,507295
"11535",2417,8426912,6024303.21,86037.41
"10313",1595,5012978,4019617.7,46100
"27306",20681,37109178,28738803.8,465176.6
"6886",5910,11677970,8839342.37,112092.07
"18198",96,299605,171875.34,2153.04
"30365",34,121614,77578,424
"21898",18,33493,18868.2,234
"7645",140,266517,153452.28,2558.58
"14899",15,33734,19136.9,172
"3180",72,125400,44044.37,570.57
"11567",26,52584,18210.89,230.09
"28880",33,94980,23611,296
"21071",40,49865,28241.27,353.67
"26699",65,231496,144235.1,1642
"33260",300,773414,562171.64,7054.84
"15247",486,684574,553554.39,6955.89
"942",1907,4219275,3270233.71,40981.61
"33108",28,69951,33262,222
"4346",4799,9926263,6880601.93,86571.93
"5021",8293,25354731,20855513.9,659410
"12411",75,720772,495814.32,12234.72
"32612",29,75978,54008,417
"8354",25,50373,26483.4,259
"9819",10,23986,13809.19,174.09
"16912",6,10347,5684.32,72.12
"16516",5,8569,3290.67,41.27
"33234",13,32149,23345.26,293.76
"13696",5,6915,3603.4,46.1
"8322",26,70437,44962.49,563.39
"20927",31,35770,26665.9,241
"2482",34,94786,60162.2,717
"31626",5,27142,15822,0
"28085",4,14159,5825,56
"30866",17,52078,17690,30
"31280",6,12643,5793.86,72.76
"22669",34,32685,9937.17,124.77
"23481",33,44485,26329,330.2
"32987",29,57229,48093.6,606.9
"14072",19,73066,46646.8,582
"18113",286,439704,258669.8,2105
"8506",9,37784,16208.28,204.28
"23628",580,2450525,1177755.39,14909.39
"11873",64,118677,77075.8,807
"31257",34,75798,49143,192
"22261",56,134092,71131.26,907.86
"29173",8,38432,15947,170
"21957",51,77479,38729.24,485.24
"33509",585,1722606,558176.52,7043.22
"20536",113,203184,125150.84,1579.44
"33637",0,40406,23174,0
"27016",76,103960,71764.92,2201.22
"14546",35,105927,41236.8,380
"32306",4,10865,6164,0
"32040",38,274787,170075,2139
"6500",1451,4472859,2909023.72,61524.92
"12020",147,471400,228271.41,2874.51
"1931",12,17621,9826.32,123.52
"18259",110,310163,146567.04,1876.24
"32650",16,26843,11559.38,147.88
"29391",10,20768,12909.99,161.49
"32276",173,614482,373499,2802
"9098",7,22901,12649.55,159.75
"32634",0,3374421,0,0
"32743",7,18189,15511.38,357.28
"5866",12,51812,30022.5,236
"32631",10,55543,39724,498
"23713",54,59493,28182.73,508.63
"29554",67,196533,75855,952
"90251",64,192933,130339.43,1629.33
"14646",93,206965,133316.1,1174
"30755",86,139094,90538,834
"22052",315,1087493,728941.91,9335.41
"29442",8,30262,13199,63
"29089",15,51465,21672,275
"30626",30,66122,39244,499
"110",20,42836,30124.75,376.95
"9367",44,104402,47931.91,599.21
"27840",3,4938,2255,0
"29510",18,97773,47643,362
"26485",16,55152,26529.58,332.38
"18199",67,254932,127865.8,1333
"28654",211,512746,331591,4178
"15793",10,16077,9798.8,108
"8536",14,22746,14827.51,187.71
"28399",18,86657,46258,205
"33221",11,227125,81040.7,491
"22691",13,21058,13430.5,244
"9970",12,21110,10902.22,137.82
"10451",121,331764,157503.6,1205
"29532",5,19320,4659,37
"8888",17,33290,19115.66,240.86
"15561",37,52156,26179.11,332.01
"26267",10,17166,11661.73,149.33
"33497",333,18524,4498.6,0
"1063",49,49970,29537.94,378.04
"3368",10,37662,15345.1,136
"26549",15,51454,27369.3,301
"90253",39,184482,110971.6,926
"23244",8,13097,8111.6,90
"28179",31,116899,52497,326
"27560",18,23594,16502.3,170
"29708",251,499278,280855,3536
"10179",13,35313,23014.14,290.24
"31109",7,24480,11762,78
"17080",102,151465,71510.18,893.98
"20152",35,62277,36660.1,339
"90258",25,79298,45748.32,573.02
"26567",12,60611,26784,337
"26846",30,51348,41714.8,400
"31867",8,12157,7771,97
"20624",108,126338,89015.82,1115.02
"12254",74,128425,74955.62,953.82
"21621",197,237929,191492,2195
"30656",4,18306,8365.5,50
"18355",117,341175,121843.3,1548.2
"90259",51,143537,79775.4,955
"29539",30,100819,27221,106
"15985",572,1872876,1065413.57,13728.87
"33028",22,55177,39879.9,421
"18776",55,63502,33679.19,424.39
"28603",73,127362,83080,873
"16468",7,13189,7651.9,96.3
"90147",37,96242,66652.19,839.29
"20364",18,30545,17036.8,211
"518",46,66022,45807.3,1002
"17411",9,10071,4822.41,60.31
"31188",28,80448,46366,426
"31097",24,59940,24567,308
"18890",46,87164,43413.73,545.53
"8850",84,98978,55327.8,553
"28679",342,816359,453751,3073
"27683",35,203856,42943,209
"29449",8,24566,10576,21
"16007",326,1434756,747519.87,9359.27
"13244",31,108191,39691.7,400
"23020",62,102533,63295.9,600
"16733",62,148176,92064.9,1019
"23756",31,55787,33460.46,423.86
"24428",12,33229,15990.8,173
"30908",41,176144,78250,512
"18710",45,48434,29273.15,366.35
"20959",105,200263,117832,1066
"31483",126,324516,240161,1773
"15771",38,62665,37447.83,469.13
"13381",8,12816,7067.08,90.58
"26854",19,28543,21710.3,190
"29290",901,3920025,1716084,21535
"18384",13,23474,14520.82,182.12
"16659",71,117802,83409.2,970
"8349",48,89932,63600.1,440
"18266",94,140259,61848.3,334
"13754",425,815059,564206.1,6648
"22647",11,13187,9270.22,115.92
"32436",54,83901,52991.6,467
"9991",49,119078,78515.25,983.65
"27688",65,250757,106030,250
"15242",45,80177,37215.9,466
"22777",32,88075,47660.46,598.86
"15286",47,129836,60721.7,761.4
"19589",22,29465,19426.71,244.61
"24743",120,215429,133464.48,1675.08
"24458",242,141265,57739.29,726.89
"24185",591,1282862,857123.94,10769.74
"26436",94,152742,96815.91,1212.31
"20620",49,309826,139298.03,1749.53
"3689",155,657102,361372.35,4531.05
"17935",194,486963,209976.5,2618
"32391",7,29465,16232,74
"28710",106,411403,199037.1,824
"14140",121,286519,160132,2033.2
"26890",13,20894,11013.11,138.21
"27119",27,123135,61093.12,769.62
"33216",75,116072,92886.56,1169.56
"14558",141,228208,165771.9,1864
"27498",16,41387,27640.18,346.48
"33803",7,27581,18748,143
"27273",86,129103,79883,865
"24030",15,24794,12127.33,151.93
"17097",46,77833,53604.15,674.55
"15830",103,163021,111887.6,1405.9
"18229",38,90175,54816.5,701.7
"21734",24,51656,29648.4,325
"20666",52,72050,53202.3,495
"22557",48,111342,70407.19,880.39
"33382",15,45693,34697.1,375
"32647",105,220905,114944,1319
"9246",80,157273,83425.13,1048.93
"515",151,258984,163496.88,2045.48
"25767",23,31249,22052,231
"28178",584,1359557,755159.86,9959.36
"29754",32,61962,39545.3,466
"2468",63,143326,78298.29,978.99
"27911",312,1203547,488002,6119
"30792",98,144711,91237,1147
"28566",34,59027,31805,403
"16133",22,54425,28140.4,213
"13411",21,51260,36156.46,466.46
"1415",19,33886,20636,210
"8094",25,52202,35084.7,407
"17944",124,427949,221446.6,2532
"14410",20,20460,7204.1,71
"17658",97,246296,164462,1526
"24702",26,58432,21471.07,271.67
"1104",44,136784,76003.8,705
"1840",30,83330,51302.98,687.28
"23451",42,139419,53173.86,671.86
"25286",1195,2226275,1452364.21,38246.71
"22722",40,124354,41767.68,530.18
"15946",20,59941,27152.3,347.7
"24900",23,24770,9631.47,122.57
"25792",23,72173,21175.11,266.11
"19142",45,202739,80116.14,1001.94
"16309",332,240720,200533.4,6700
"9289",24,73222,37239.85,481.55
"2997",82,301457,128357.82,1647.62
