"","cert","numemp","asset","RBCT2"
"1309",90017,2,5825,16
"1310",8314,10,27940,228.27
"1311",9324,43,126763,383
"1312",28828,22,71820,136
"1313",17792,25,38022,312
"1314",17120,70,112053,787.12
"1315",6962,124,203586,1576.6
"1316",17749,59,118151,830.93
"1317",27401,92,128651,770.22
"1318",16330,7,13277,99.83
"1319",29330,0,87681,587
"1320",22984,40,70923,702.01
"1321",18929,52,86083,515
"1322",15169,142,151700,1393.2
"1323",23342,51,79200,748.67
"1324",24003,43,63407,464
"1325",32527,11,24951,39
"1326",33494,10,10295,0
"1327",32251,12,84398,599
"1328",26334,30,178259,1787.21
"1329",15585,16,18788,351.32
"1330",29897,101,479442,3135
"1331",31258,58,210490,523
"1332",29712,55,159319,1162
"1333",90311,35,94358,203
"1334",31698,451,2717870,20813
"1335",29506,9,75356,51
"1336",18127,14,24389,167.91
"1337",23564,3054,8814711,106604.12
"1338",1092,27,37925,225
"1339",22772,372,872435,10821.58
"1340",27050,14,93842,930.59
"1341",23374,17,24884,171.33
"1342",19343,98,141224,1187
"1343",32270,10,42567,90
"1344",28922,251,999983,6984
"1345",19999,39,52851,200
"1346",32574,26,118910,1051
"1347",30043,9,32660,102
"1348",30339,10,36860,39
"1349",12144,28,43297,280.59
"1350",783,105,489744,3091.61
"1351",30114,12,37636,138
"1352",25078,170,369415,2391.23
"1353",29024,17,62496,123
"1354",29550,34,95162,528
"1355",11355,17,34037,246.32
"1356",24060,40,48947,302.67
"1357",12208,31,53756,352
"1358",15664,43,61710,491.42
"1359",27659,348,1924850,6103
"1360",28421,60,377861,611
"1361",18086,12,28578,110
"1362",15089,15,34560,200
"1363",14415,11,27780,178
"1364",1469,14,26112,206.11
"1365",29818,10,21681,29
"1366",28348,39,168517,707
"1367",28035,13,82165,0
"1368",14043,103,267675,1320
"1369",16383,54,112038,833.04
"1370",23901,53,223291,589
"1371",30744,8,36476,224
"1372",15362,16,29273,223.46
"1373",16958,9,18629,194.96
"1374",19215,29,46459,346.79
"1375",20484,56,98240,763
"1376",15697,456,1300605,8691.52
"1377",17158,166,397157,3365.29
"1378",33560,455,535974,7034.92
"1379",19360,22,40943,287
"1380",90200,85,196354,1103
"1381",10126,6,17764,125.44
"1382",30350,24,72512,0
"1383",23352,25,52671,346.46
"1384",10696,30,42468,328
"1385",17282,6,13139,83.9
"1386",13774,9,20943,169.75
"1387",31357,22,91310,170
"1388",13934,93,196185,1372.3
"1389",29133,21,32671,204
"1390",27180,24,54857,500.43
"1391",30028,467,1250005,768
"1392",27104,65,141261,1108.39
"1393",23621,129,279565,2617.55
"1394",7403,28,46212,349.83
"1395",20015,36,202557,0
"1396",21868,163,97020,0
"1397",91189,11,5838,62.44
"1398",19690,40,90719,836
"1399",1790,126,282279,1851.07
"1400",27247,8,18628,123
"1401",19461,56,120432,811
"1402",26601,24,69276,383
"1403",17741,44,118414,318
"1404",29637,44,69350,478
"1405",26743,25,32235,264.03
"1406",32871,5,10009,48
"1407",22905,11,17580,104.11
"1408",33441,12,44131,211
"1409",26384,35,110498,664.57
"1410",33641,17,53969,0
"1411",33149,21,39018,204
"1412",14083,3,6083,32.92
"1413",23806,23,25111,252.92
"1414",31631,37,88041,403
"1415",27897,6,19244,9
"1416",1912,14,23089,149.05
"1417",27026,14,11523,91.99
"1418",18402,68,153694,756
"1419",14078,50,126883,918
"1420",6081,12,17082,115
"1421",20670,16,13058,45
"1422",13446,8,13748,96.11
"1423",13563,8,12086,42
"1424",15714,60,132351,1153.69
"1425",33481,12,43059,355
"1426",28009,21,75517,162
"1427",7411,180,418773,3127.99
"1428",30506,7,39202,106
"1429",31090,5,23603,24
"1430",13753,12,64334,381.43
"1431",27077,41,60817,529.77
"1432",24123,36,75536,521
"1433",17933,120,234907,1323
"1434",17773,25,34808,101
"1435",33638,20,15888,22
"1436",32347,13,31369,253
"1437",30075,0,12150,52
"1438",16132,131,175982,1320.01
"1439",32648,451,3460235,4216
"1440",27966,14,41867,127
"1441",16266,25,67319,475.54
"1442",27144,150,323573,3727.86
"1443",9097,51,120018,899.97
"1444",15517,78,170318,990.43
"1445",18492,12,42824,256.6
"1446",10900,11,26593,163.4
"1447",1630,51,119342,825.18
"1448",20031,14,37398,216.11
"1449",11467,23,66814,534.52
"1450",8882,117,289562,1741.7
"1451",11738,70,128328,1113.27
"1452",4599,20,42247,301.9
"1453",19015,128,262855,1929.69
"1454",13184,27,47543,339.51
"1455",11701,92,178775,1528.15
"1456",12210,50,94218,592.02
"1457",12131,16,38175,228.88
"1458",18435,18,24306,225.57
"1459",17901,534,1099001,9806.66
"1460",1152,104,177721,1483.41
"1461",9164,272,670648,7509.76
"1462",15265,28,53888,314.29
"1463",18064,53,102221,636.88
"1464",13961,19,41294,217.73
"1465",4587,1779,3745496,29040.62
"1466",26718,704,1498147,13764.56
"1467",4577,71,152135,923.87
"1468",3764,136,296994,2463.68
"1469",16466,15,52374,235.02
"1470",4529,237,440902,3964.11
"1471",3803,55,111635,681.22
"1472",13969,53,101594,677.68
"1473",4447,199,466161,3178.4
"1474",4545,33,76857,475.03
"1475",14873,40,116409,803.05
"1476",9381,29,68879,461.69
"1477",24749,53,78099,712.77
"1478",26652,11,20480,163.81
"1479",5624,12,48265,143
"1480",17825,4,8119,67.93
"1481",29941,8,87543,0
"1482",29513,9,31957,130
"1483",30052,75,474523,3004.41
"1484",10993,9,16875,91
"1485",11235,11,34917,149
"1486",9021,29,60701,334.2
"1487",22653,13,19786,138
"1488",33552,32,71018,157
"1489",6773,49,120330,590.63
"1490",28390,17,61582,448
"1491",33422,32,80107,608.58
"1492",30128,13,30335,86
"1493",31572,10,25302,27
"1494",20012,29,44736,366.4
"1495",23092,59,166097,1469.51
"1496",24080,24,39883,319.98
"1497",11595,32,72478,404.58
"1498",1491,12,26194,196.23
"1499",28511,178,534839,3579
"1500",24811,31,88665,633.33
"1501",22295,2068,5883659,66676.91
"1502",15361,12,17124,141.62
"1503",16564,9,9686,75
"1504",26352,28,45902,335.02
"1505",3630,172,638790,5332.99
"1506",734,79,139804,955.9
"1507",27437,15,26824,235
"1508",10443,8,11825,85
"1509",26870,9,12564,71.06
"1510",11365,77,152152,1156
"1511",26508,35,46920,348
"1512",14763,8,14347,85.76
"1513",28312,42,260067,100
"1514",6193,22,31468,227.36
"1515",10444,27,52627,280
"1516",18969,18,26132,298
"1517",31443,16,30370,142
"1518",27808,5,19505,0
"1519",9846,3526,7307266,83418.21
"1520",21098,165,491720,4564.06
"1521",29069,41,73248,439
"1522",18244,82,189026,1840.72
"1523",5671,14,29630,175.02
"1524",16386,11,30797,212.07
"1525",17204,7,5397,44.24
"1526",28837,22,42732,123
"1527",24038,8,9351,59
"1528",26525,21,27286,113
"1529",11357,8,14033,81.34
"1530",5792,5,20396,155.55
"1531",1067,37,82373,599
"1532",16772,16,31351,220.23
"1533",16572,20,55883,383.99
"1534",17873,55,94162,666.01
"1535",9301,34,80981,526
"1536",20740,63,160713,874
"1537",15863,18,57175,360
"1538",17481,149,312692,2523
"1539",4473,24,64391,411
"1540",18848,53,131293,971
"1541",4490,25,83235,390
"1542",4463,37,106910,884.96
"1543",28123,40,103115,149
"1544",14919,31,66067,443
"1545",229,23,57015,369
