"","numemp","asset","RBCT2"
"21979",97,240884,1445
"9023",80,167648,1177
"2327",35,68270,352
"10885",7,15263,121
"5713",31,60543,206
"33653",NA,2334191,NA
"34959",25,81381,915
"6123",103,217123,1596
"16953",7,17949,177
"13167",23,95961,586
"26955",63,137077,1370
"21015",18,43398,366
"16980",310,866896,8020
"8775",38,106330,949
"422",30,74727,577
"34385",24,79977,569
"1701",19,49863,416
"26217",45,106367,511
"13274",43,89854,552
"19829",19,33490,259
"22639",23,56538,306
"25328",4,11575,45
"9359",33,149263,784
"10523",94,222979,1321
"4796",15,43536,294
"35455",23,43507,436
"9875",9,35076,95
"23060",46,72935,406
"8531",23,85091,312
"20827",87,254519,2475
"1612",5,22600,164
"1937",40,113793,958
"1468",28,78766,695
"4075",30,68380,537
"17543",30,63891,451
"15291",23,70887,596
"14749",58,120739,902
"34903",33,98714,978
"876",21,69986,503
"2477",15,43813,430
"99",18,70816,507
"17569",4,9707,48
"26542",30,117644,643
"17327",49,155238,799
"14912",15,43357,297
"19515",18,66229,571
"22309",19,55307,492
"9068",44,93403,810
"10805",9,36209,276
"2372",31,51273,489
"15813",24,62478,574
"16243",51,77478,668
"877",65,150871,1439
"296",37,140558,699
"16154",10,35435,306
"11522",41,76110,446
"5687",19,83428,700
"18321",101,212960,1817
"13303",32,73271,562
"1249",27,45096,460
"8532",27,57916,366
"8675",76,203003,1951
"5635",33,78210,600
"57122",20,47958,440
"1751",8,14326,94
"49",13,22540,170
"11207",30,96441,752
"26551",52,121390,1045
"11732",12,55177,393
"16993",59,175448,1167
"1484",30,80484,718
"10594",39,82265,480
"35543",11,27688,199
"12461",8,32381,153
"2398",38,114847,1080
"21158",12,26548,130
"8693",23,52215,476
"15397",48,127038,1065
"5775",45,100935,1332
"13162",15,28717,254
"18243",5,15050,98
"22838",17,58775,432
"2379",31,96313,600
"16527",9,26733,122
"24841",26,98244,956
"24500",39,58161,429
"9392",23,84267,358
"5950",194,691076,6412
"5636",36,167238,1215
"8486",37,195752,1351
"17995",6,24584,197
"15113",21,50481,505
"57169",17,21709,162
"1372",33,60273,400
"15866",20,37046,264
"20884",416,767263,8746
"8144",15,78187,239
"10315",14,44772,333
"9127",4,12240,70
"27125",134,229239,2208
"10057",27,65575,503
"12986",185,559928,3762
"13962",13,41859,301
"18053",3839,11679385,245526
"1627",26,66310,430
"17813",7,23684,200
"149",28,59508,610
"9514",3,8900,0
"10054",76,179325,1592
"15821",18,42398,230
"289",21,103639,506
"8297",47,104772,555
"1464",16,44731,312
"1678",52,138916,1352
"10674",11,65903,423
"8584",11,29094,197
"26403",85,139613,1323
"33648",NA,246250,NA
"35546",20,182688,345
"14794",27,28806,205
"23826",48,197282,1597
"20183",97,229965,2037
"8118",35,110017,722
"16469",8,13366,96
"8804",34,52359,309
"34897",26,91839,710
"11750",25,66616,549
"17378",30,71763,471
"22609",3,5269,31
"35386",12,35828,263
"9817",11,26873,339
"9775",14,54872,486
"21120",39,124822,934
"1635",86,308474,2019
"8695",18,81641,599
"15547",28,70539,464
"34250",20,26844,217
"11200",91,233434,1573
"7768",475,1127841,8554
"18379",60,130322,785
"4130",16,46417,226
"9318",22,37890,237
"8886",63,174863,1239
"8265",4,6147,40
"15266",6,17023,98
"971",123,239114,1992
"13832",31,38838,396
"1643",15,33833,175
"17309",70,227696,1362
"19087",8,24724,191
"11608",21,119014,1103
"91280",36,102006,917
"26268",11,22083,93
"16795",18,29391,248
"24606",119,210595,2115
"22176",63,260075,2535
"17878",160,98630,779
"8885",14,44177,300
"8778",514,1679136,10326
"2224",12,44106,296
"16281",13,18058,129
"13264",51,134845,1096
"35039",20,39393,264
"148",42,107454,820
"8120",24,86598,596
"15653",16,40909,235
"11466",32,47501,403
"9332",13,45335,308
"32779",141,429692,4785
"8145",14,33207,265
"12327",62,169710,1771
"9315",39,106977,724
"303",42,103547,817
"1523",22,65029,519
"6139",42,82351,569
"13611",5,15528,115
"618",35,109760,687
"11232",15,37355,361
"19954",15,25162,185
"22273",50,74083,503
"17829",7,17724,128
"17355",8,18205,85
"12511",23,73010,595
"15556",33,61235,562
"20769",11,33927,280
"1373",22,43415,266
"15423",11,20857,133
"12232",18,53656,471
"2145",17,64506,477
"11609",18,49649,375
"8556",15,44209,335
"9057",20,74366,556
"13017",30,62624,435
"12530",36,140399,852
"91",50,61697,277
"34595",63,125257,1023
"35396",12,27170,170
"21704",39,86852,809
"57035",15,33555,280
"19448",75,271949,1958
"10626",9,24641,145
"27575",0,14242,0
"6221",704,4902488,36683
"14701",46,75548,581
"28411",69,196342,429
"5704",15,42640,329
"18129",221,761546,5833
"34178",26,81553,599
"20130",49,111081,1023
"33527",67,203999,2153
"31203",239,1016679,10993
"14329",36,162509,5305
"18171",36,228515,1266
"21529",3,33652,117
"35365",15,27605,265
"9523",14,44605,380
"23876",28,59952,515
"5867",46,89614,602
"9803",28,261789,781
"9304",21,60798,361
"4214",2471,8496563,228918
"5902",14,60990,423
"21085",10,22447,207
"23130",93,289037,2780
"16905",6,18136,149
"21971",22,57259,296
"13710",8,19281,167
"17110",4,20983,167
"14033",23,49953,317
"13857",5,7914,57
"12247",7,18574,166
"20830",72,298938,3145
"1713",18,74744,578
"27064",38,328195,2244
"16607",11,23708,56
"22319",9,16139,132
"11256",55,133534,1326
"16982",60,221209,1470
"35346",10,25077,174
"11603",24,54288,456
"12745",5,12704,104
"14660",40,167643,1531
"101",23,70475,315
"8432",80,202817,861
"35209",7,15001,135
"11711",46,144628,1083
"12956",31,86202,604
"9160",31,76629,419
"1377",14,34971,156
"8472",39,141029,1042
"15673",74,156483,898
"34085",37,94303,691
"10628",16,37864,273
"328",10,20452,128
"34713",25,117458,1057
"14349",28,76395,415
"11243",37,90177,863
"33313",13,92541,741
"21230",93,540779,3979
"18556",87,154540,1056
"22637",30,47763,320
"22002",8,10764,117
"664",100,362832,3159
"5863",63,206386,1533
"19506",109,283097,1792
"34413",22,44870,272
"33990",17,31046,225
"15294",6,30996,347
"12236",13,43547,365
"22739",26,43374,407
"26280",24,60751,537
"24919",77,203355,1772
"9820",6,13987,132
"5634",32,92155,718
"34148",18,48740,414
"12469",34,112083,796
"1536",361,1212079,31223
"16413",16,60798,314
"8892",83,223701,1517
"13565",81,195496,1871
"11788",30,58184,346
"34316",48,229897,1127
"836",94,287564,1601
"21573",144,385520,3766
"35320",27,99914,835
"11942",23,56092,416
"21674",462,1794417,15609
"12474",39,69782,601
"21161",33,107877,785
